SKU,product_sold,date,quantity,unit_price,total_price,currency,site,discount_coupon,discount_value,buyer_birth_date,buyer_name,delivery_country,invoice_id
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-08-31,4,100,400,EUR,Etsy,COUPONzQnaB,77.45,2005-11-12,Jose Jacobs,Canada,3f6f38bf-cbd5-4e1d-91a5-2ef1bfe51b0f
SKU-35XX01,NEW MEGANIUM RG35XX,2024-10-27,3,90,270,EUR,Etsy,COUPONVGnQy,59.92,1977-05-26,Joseph Moore,UK,1fae975a-5b46-448f-b91a-68bd7df1b059
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-08-03,1,80,80,GBP,Etsy,COUPONKqmJN,9.3,1967-12-31,Kari Allen,UK,417ea485-1a52-4f15-9f60-9fd7376e93c4
SKU-353M01,MEGANIUM RG353M,2024-09-10,4,110,440,USD,Etsy,COUPONhlHof,31.31,1984-06-04,Sharon Williams,France,ec6df326-be56-44ee-bc73-e9d501a50a62
SKU-28XX01,NEW MEGANIUM RG28XX,2024-08-14,5,70,350,EUR,Etsy,COUPONYBvRx,32.25,1987-11-09,James Jenkins,Australia,4a0afb20-6808-4f1e-98ff-018fa105a42d
SKU-35XX01,NEW MEGANIUM RG35XX,2024-06-11,5,90,450,USD,Etsy,COUPONwpyDR,62.88,1976-04-09,Mark Craig MD,Canada,d0ec7ad2-f30d-406a-910b-2ba144943ffa
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-08-06,5,100,500,GBP,Etsy,COUPONORDeB,70.48,1973-06-12,Dennis Gonzalez,Japan,2ff5eff1-2a43-4c23-8e91-0ad74035fb8d
SKU-28XX01,NEW MEGANIUM RG28XX,2024-07-22,3,70,210,USD,Etsy,COUPONoMjMH,18.83,1971-09-05,Angelica Acosta,Germany,9fc399cb-9bb8-4213-8f84-cc6520cf92d0
SKU-35XX01,NEW MEGANIUM RG35XX,2024-08-24,2,90,180,GBP,Etsy,COUPONgDsqO,10.19,1989-05-26,Carol Mathis,Canada,20ab7939-6c11-42dc-a5f8-777d959084b1
SKU-28XX01,NEW MEGANIUM RG28XX,2024-09-07,1,70,70,EUR,Etsy,COUPONLEejx,11.09,1965-07-02,Amanda Stevens,France,7a5adee5-228e-4dfd-87f6-3cb5a923d582
SKU-353M01,MEGANIUM RG353M,2024-07-23,5,110,550,EUR,Etsy,COUPONcmObK,137.78,1983-01-27,Charles Clark,Japan,0f13a4bd-1a61-4dba-ad95-148de1bd547b
SKU-353M01,MEGANIUM RG353M,2024-06-03,1,110,110,EUR,Etsy,COUPONzvWMB,6.78,1991-04-20,Cathy Swanson,USA,5d8e4840-3a3f-4dd8-ad84-9e0a518f5e98
SKU-28XX01,NEW MEGANIUM RG28XX,2024-06-21,1,70,70,GBP,Etsy,COUPONMFrsu,19.85,1971-12-22,Travis Newman,France,939ba906-5228-42e1-90a4-42e97c136501
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-09-20,3,100,300,EUR,Etsy,COUPONJQipT,78.19,2001-12-26,Michael Livingston,Canada,c2468fb9-daf4-4334-84a7-5d30ca1e8b19
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-05-18,3,100,300,EUR,Etsy,COUPONXKmuV,33.89,1980-07-29,Michele Smith,Japan,5846c075-61b3-43a6-8a36-fac16893c37d
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-08-05,1,100,100,EUR,Etsy,COUPONstiAB,15.82,1976-09-29,Justin Davis,Canada,d923738e-4013-4fe8-ab67-40795c388b8b
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-10-02,1,100,100,GBP,Etsy,COUPONaMtVZ,19.08,1991-06-07,Amanda Larson,Germany,afad2069-4ed0-4b8e-813b-68c059ff7eae
SKU-35XX01,NEW MEGANIUM RG35XX,2024-07-22,1,90,90,USD,Etsy,COUPONzUflc,7.11,1979-12-14,David Franco,Germany,2fab4d3b-5370-451f-aea0-2aaf2eba73e5
SKU-353M01,MEGANIUM RG353M,2024-07-26,2,110,220,USD,Etsy,COUPONOTLsi,16.6,1979-06-17,Mark Ray,France,82a2d366-8326-4f5e-9308-05407b919fcd
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-08-01,5,80,400,EUR,Etsy,COUPONrasNg,112.31,1969-06-03,Lisa Johnson,Japan,fdf943c1-63b2-4bd8-8e2a-167c0af6bebf
